WV P     
2 4 5
4 1 5
1 6 5
4 9 3
5 3 7
4 5 9
1 3 7
1 3 2
4 5 2
4 7 5
4 2 1
1 5 4
7 9 7
1 4 2
1 5 8
21 2 4
1 9 8
1 9 4
3 4 1
7 1 6
1 5 1
18 4 7
1 5 8
27 7 8
1 7 3
1 3 7
1 7 2
1 2 1
42 8 9
1 8 7
1 8 2
1 4 6
1 2 9
2 1 2
1 7 3
7 6 4
4 9 6
1 3 2
1 2 7
2 2 5
1 8 4
1 9 3
5 4 7
1 5 6
1 5 9
1 6 3
1 7 5
2 3 2
22 9 7
2 2 3
18 7 9
1 4 9
1 1 4
4 7 3
4 3 2
3 4 5
1 2 4
5 6 9
1 5 3
1 4 7
2 5 1
3 2 4
1 5 6
2 7 9
1 6 8
2 3 2
2 4 7
1 8 7
1 4 6
35 9 7
13 7 3
1 2 7
1 2 5
1 5 8
1 8 5
8 7 3
1 6 4
6 3 9
1 1 9
1 4 1
14 9 8
1 5 7
16 3 2
2 1 2
1 9 2
1 8 1
1 1 3
7 2 9
6 9 8
1 3 4
3 7 6
2 2 1
1 4 7
2 2 5
1 9 6
2 2 5
2 6 2
4 5 4
5 2 6
1 1 7
1 1 2
13 8 1
2 8 4
19 7 4
3 1 6
11 4 3
2 7 9
4 2 5
2 9 5
1 7 4
2 5 7
4 3 4
3 4 1
3 5 1
9 6 4
1 7 9
1 7 5
10 1 4
1 9 6
1 6 8
32 4 5
7 5 4
27 5 9
5 3 2
3 2 8
1 6 2
8 4 9
1 2 9
8 8 6
2 4 3
1 2 3
15 9 8
4 1 4
3 4 8
6 9 7
1 4 9
8 8 2
2 1 9
2 7 9
10 8 3
6 2 6
2 3 2
6 6 3
1 7 5
8 3 2
4 3 2
1 3 5
6 6 1
4 3 7
2 5 8
3 7 5
6 1 7
1 3 4
1 3 9
10 7 4
8 2 8
11 9 5
11 4 1
5 2 6
3 2 7
11 1 6
1 5 6
8 5 4
19 6 7
3 7 9
3 5 4
1 2 5
3 5 7
8 9 6
2 4 1
1 1 9
2 9 7
6 6 2
2 4 6
4 8 6
1 8 1
7 6 7
1 9 4
5 8 4
3 2 6
4 6 4
2 9 6
3 2 9
16 4 8
1 6 8
2 9 5
1 9 7
2 5 2
1 4 6
2 2 5
1 9 6
3 7 3
7 7 8
2 7 1
3 8 5
3 6 2
4 7 4
1 5 1
1 5 7
3 3 4
5 1 4
16 7 2
5 4 7
19 8 1
11 2 9
11 9 6
2 1 6
2 4 1
5 4 6
1 5 9
1 9 6
2 2 6
1 5 4
8 6 5
16 1 6
1 4 9
3 2 9
2 2 5
2 5 8
4 8 4
4 9 7
2 1 3
5 6 4
21 6 2
9 7 3
1 1 2
1 5 3
23 2 7
1 7 5
3 6 1
9 4 5
11 7 1
2 3 4
1 3 7
1 4 1
10 1 6
5 7 1
3 1 4
7 1 7
4 3 8
4 7 4
5 7 3
2 4 9
1 8 1
4 4 1
1 6 1
1 6 5
16 5 1
2 5 7
1 5 6
2 8 2
1 7 9
3 9 5
2 5 4
6 7 1
3 4 7
1 8 6
5 1 4
1 6 1
19 1 5
1 7 6
9 3 1
6 6 5
4 6 9
3 9 4
13 1 4
1 3 1
2 5 1
1 2 3
1 3 9
4 5 4
1 2 3
1 3 5
1 9 1
1 9 5
19 4 7
4 1 6
5 4 3
3 6 1
1 6 8
2 1 6
2 1 7
2 6 3
2 3 1
8 7 6
5 3 9
2 4 9
2 6 8
10 7 2
7 2 9
1 8 9
1 1 2
2 9 3
2 8 7
1 1 6
1 2 8
2 2 5
4 5 7
5 6 1
1 3 4
